title,flavor,instructions,alt_instructions,devshare,usershare,devprotect,userprotect,avatar,card_id,
The reviews are in.,Reviewers want to know: do you really need to track site activity?,"If you already do not collect site activity for any reason, gain 3 additional user trust.","If you decide not to collect site activity for any reason in the future, gain 3 additional user trust.",,3,,,,card_18,18
Polling numbers,3 out of 5 users agree that you shouldn't have to provide demographic information in order to use the app.,"If you already do not collect demographic information for any reason, gain 3 additional user trust.","If you decide not to collect demographic information for any reason, gain 3 additional user trust.",,3,,,,card_19,19
Angry email,A user wrote to say they CANNOT EVEN with your sharing of their data.,"If you ever share more than 3 types of data with other companies, lose 2 User Trust and 2 Developer Resources. ","If you ever share 1 or 2 types of data, lose 1 User Trust and 2 Developer Resources.",-2,-2,,,,card_20,20
Best App Policies Ever!,Your restraint sharing data is paying off.,"If you currently share no data with other companies, gain 2 User Trust & 2 Developer Resources. ","If you currently share less than 3 data types, gain 1 User Trust & 1 Developer Resource.",2,2,,,,card_21,21
R&D Team data needs.,The R&D team needs more data to figure out your company's next big app!,You must choose to collect either purchasing OR demographic information for profiling. Adjust your score accordingly.,,,,,,,card_22,22
Marketing's new campaign,"To better target the new marketing campaign, marketing wants demographic and purchasing data.","Negotiate with marketing to share either Demographic or Purchasing Information data, adjust your score accordingly, and gain 1 additional Developer Resource.",,1,,,,,card_23,23
Legal's liability worries.,Legal is worried about potential issues raised by collecting health information.,"If you already do not collect health information for any reason, gain 3 additional Developer Resources.","If you decide not to collect health information for any reason in the future, gain 3 additional Developer Resources.",3,,,,,card_24,24
Legal's liability worries.,Legal is worried that collecting contact lists might expose the company to lawsuits.,"If you already do not collect contact lists for any reason, gain 1 additional Developer Resource.","If you decide not collect contact lists for any reason in the future, gain 1 additional Developer Resource.",1,,,,,card_25,25
CEO's Statement,The CEO gave a speech about your commitment to protecting the user.,Gain 1 Developer Resource if your team currently has more than 15 User Trust points. ,,1,,,,,card_26,26
Partnership Problems,Promotion of your company's partnership with Int. Health Insurance has made users nervous.,"If you already share health information with other companies, lose an additional 2 User Trust.","If you decide to share health information with other companies in the future, lose an additional 2 User Trust.",,-2,,,,card_28,28
Tool creator folds,The creator of an outside analytic tool you use was sold. They had access to site activity data about your users. ,"If you already share site activity with other companies, lose an additional 2 User Trust.",,,-2,,,,card_29,29
Third-party Breach,The tool you use for tracking users' location has been hacked!,"If you already collect location data for any reason, lose an additional -2 User Trust.",,,-2,,,,card_30,30
Marketing Blitz,Your marketing department's strategy has paid off.,Gain 3 User Trust,,,3,,,trust.png,card_31,31
Successful Promotion,Sometimes paid promotions - paying a social media company to advertise to targeted groups - are a good deal. Today was one of those times.,Gain 2 User Trust,,,2,,,trust.png,card_32,32
Advertising Returns,Your web-based advertising campaign was successful.,Gain 1 User Trust,,,1,,,trust.png,card_33,33
National Security Interests,A government organization has requested access to users' data.,All data that your company collects must now automatically be shared with the Government.,,,,,,,card_34,34
Hindsight is 20/20,,"Make a different decision on either collecting or sharing one piece of information. If this is your first card drawn, ignore it, put it on the bottom, and redraw.",,,,,,,card_36,36
